type,field,QA_mean_precision,EMB_mean_precision,winner,precision_diff
CV,salary_expectation,0.1,1.0,EMB,0.9
CV,summary,0.6375175123256964,0.7090216201423097,EMB,0.07150410781661332
CV,skills,0.6712742171802054,0.6815114920210423,EMB,0.010237274840836919
CV,institution,0.8,0.3716666666666667,QA,0.42833333333333334
CV,major,0.38269230769230766,0.09378787878787878,QA,0.2889044289044289
CV,education_level,0.47857142857142854,0.2113888888888889,QA,0.26718253968253963
CV,desired_job,1.0,1.0,TIE,0.0
CV,location,1.0,1.0,TIE,0.0
JD,requirements,0.2666234412307089,0.4115190378353345,EMB,0.1448955966046256
JD,required_major,0.4211764705882353,0.03959054533095132,QA,0.381585925257284
JD,required_education_level,0.31875,0.05172665298814977,QA,0.2670233470118502
JD,required_skills,0.4520924337100808,0.2274701246687664,QA,0.2246223090413144
JD,responsibilities,0.6934248019514706,0.47704935133052684,QA,0.21637545062094377
JD,job_description,0.12237585943468296,0.04233506546873157,QA,0.08004079396595139
JD,job_location,1.0,1.0,TIE,0.0
JD,salary_offer,1.0,1.0,TIE,0.0
