UserID,field,pred_tokens,gold_tokens,intersection,precision,recall,f1,system,type,JobID
964496,summary,3,30,3,1.0,0.1,0.18181818181818182,QA,CV,
964496,education_level,4,3,3,0.75,1.0,0.8571428571428571,QA,CV,
964496,institution,4,4,4,1.0,1.0,1.0,QA,CV,
964496,major,4,0,0,0.0,0.0,0.0,QA,CV,
964496,skills,72,58,48,0.6666666666666666,0.8275862068965517,0.7384615384615385,QA,CV,
964496,location,2,2,2,1.0,1.0,1.0,QA,CV,
964496,salary_expectation,10,2,0,0.0,0.0,0.0,QA,CV,
964496,desired_job,4,6,4,1.0,0.6666666666666666,0.8,QA,CV,
986206,summary,78,57,45,0.5769230769230769,0.7894736842105263,0.6666666666666666,QA,CV,
986206,education_level,4,3,3,0.75,1.0,0.8571428571428571,QA,CV,
986206,institution,4,4,4,1.0,1.0,1.0,QA,CV,
986206,major,4,0,0,0.0,0.0,0.0,QA,CV,
986206,skills,11,60,10,0.9090909090909091,0.16666666666666666,0.2816901408450704,QA,CV,
986206,location,2,2,2,1.0,1.0,1.0,QA,CV,
986206,salary_expectation,10,2,0,0.0,0.0,0.0,QA,CV,
986206,desired_job,4,6,4,1.0,0.6666666666666666,0.8,QA,CV,
769632,summary,24,50,11,0.4583333333333333,0.22,0.29729729729729726,QA,CV,
769632,education_level,0,0,0,0.0,0.0,0.0,QA,CV,
769632,institution,0,0,0,0.0,0.0,0.0,QA,CV,
769632,major,0,0,0,0.0,0.0,0.0,QA,CV,
769632,skills,13,45,6,0.46153846153846156,0.13333333333333333,0.20689655172413796,QA,CV,
769632,location,2,2,2,1.0,1.0,1.0,QA,CV,
769632,salary_expectation,10,2,0,0.0,0.0,0.0,QA,CV,
769632,desired_job,7,11,7,1.0,0.6363636363636364,0.7777777777777778,QA,CV,
981314,summary,51,66,39,0.7647058823529411,0.5909090909090909,0.6666666666666667,QA,CV,
981314,education_level,4,3,2,0.5,0.6666666666666666,0.5714285714285715,QA,CV,
981314,institution,4,4,4,1.0,1.0,1.0,QA,CV,
981314,major,13,0,0,0.0,0.0,0.0,QA,CV,
981314,skills,31,62,30,0.967741935483871,0.4838709677419355,0.6451612903225807,QA,CV,
981314,location,2,2,2,1.0,1.0,1.0,QA,CV,
981314,salary_expectation,10,2,0,0.0,0.0,0.0,QA,CV,
981314,desired_job,6,6,6,1.0,1.0,1.0,QA,CV,
962892,summary,26,28,18,0.6923076923076923,0.6428571428571429,0.6666666666666666,QA,CV,
962892,education_level,7,2,2,0.2857142857142857,1.0,0.4444444444444445,QA,CV,
962892,institution,7,11,7,1.0,0.6363636363636364,0.7777777777777778,QA,CV,
962892,major,3,3,3,1.0,1.0,1.0,QA,CV,
962892,skills,48,35,35,0.7291666666666666,1.0,0.8433734939759037,QA,CV,
962892,location,3,3,3,1.0,1.0,1.0,QA,CV,
962892,salary_expectation,10,2,0,0.0,0.0,0.0,QA,CV,
962892,desired_job,4,4,4,1.0,1.0,1.0,QA,CV,
967782,summary,23,37,19,0.8260869565217391,0.5135135135135135,0.6333333333333333,QA,CV,
967782,education_level,8,2,2,0.25,1.0,0.4,QA,CV,
967782,institution,4,4,4,1.0,1.0,1.0,QA,CV,
967782,major,2,2,2,1.0,1.0,1.0,QA,CV,
967782,skills,61,36,32,0.5245901639344263,0.8888888888888888,0.6597938144329897,QA,CV,
967782,location,2,2,2,1.0,1.0,1.0,QA,CV,
967782,salary_expectation,10,2,0,0.0,0.0,0.0,QA,CV,
967782,desired_job,5,5,5,1.0,1.0,1.0,QA,CV,
986307,summary,0,42,0,0.0,0.0,0.0,QA,CV,
986307,education_level,4,3,3,0.75,1.0,0.8571428571428571,QA,CV,
986307,institution,4,4,4,1.0,1.0,1.0,QA,CV,
986307,major,4,0,0,0.0,0.0,0.0,QA,CV,
986307,skills,12,59,3,0.25,0.05084745762711865,0.08450704225352114,QA,CV,
986307,location,2,2,2,1.0,1.0,1.0,QA,CV,
986307,salary_expectation,10,2,0,0.0,0.0,0.0,QA,CV,
986307,desired_job,4,6,4,1.0,0.6666666666666666,0.8,QA,CV,
990789,summary,24,48,13,0.5416666666666666,0.2708333333333333,0.36111111111111105,QA,CV,
990789,education_level,4,3,2,0.5,0.6666666666666666,0.5714285714285715,QA,CV,
990789,institution,4,4,4,1.0,1.0,1.0,QA,CV,
990789,major,13,0,0,0.0,0.0,0.0,QA,CV,
990789,skills,40,49,25,0.625,0.5102040816326531,0.5617977528089888,QA,CV,
990789,location,2,2,2,1.0,1.0,1.0,QA,CV,
990789,salary_expectation,10,2,0,0.0,0.0,0.0,QA,CV,
990789,desired_job,6,6,6,1.0,1.0,1.0,QA,CV,
981988,summary,30,34,25,0.8333333333333334,0.7352941176470589,0.78125,QA,CV,
981988,education_level,2,2,2,1.0,1.0,1.0,QA,CV,
981988,institution,3,3,3,1.0,1.0,1.0,QA,CV,
981988,major,2,0,0,0.0,0.0,0.0,QA,CV,
981988,skills,7,40,7,1.0,0.175,0.2978723404255319,QA,CV,
981988,location,2,5,2,1.0,0.4,0.5714285714285715,QA,CV,
981988,salary_expectation,3,3,3,1.0,1.0,1.0,QA,CV,
981988,desired_job,4,4,4,1.0,1.0,1.0,QA,CV,
966890,summary,44,42,30,0.6818181818181818,0.7142857142857143,0.6976744186046512,QA,CV,
966890,education_level,9,0,0,0.0,0.0,0.0,QA,CV,
966890,institution,0,0,0,0.0,0.0,0.0,QA,CV,
966890,major,2,0,0,0.0,0.0,0.0,QA,CV,
966890,skills,19,107,11,0.5789473684210527,0.102803738317757,0.1746031746031746,QA,CV,
966890,location,3,3,3,1.0,1.0,1.0,QA,CV,
966890,salary_expectation,10,2,0,0.0,0.0,0.0,QA,CV,
966890,desired_job,4,4,4,1.0,1.0,1.0,QA,CV,
,job_description,17,3,1,0.058823529411764705,0.3333333333333333,0.1,QA,JD,0
,responsibilities,47,73,38,0.8085106382978723,0.5205479452054794,0.6333333333333333,QA,JD,0
,requirements,47,51,5,0.10638297872340426,0.09803921568627451,0.1020408163265306,QA,JD,0
